New Orleans,San Francisco,09/14/25,E.McCoy,OL,Shawn Smith,2,1,2:43,2,8,10,No,No,Yes,Offense
San Francisco,New Orleans,09/14/25,J.Tonges,TE,Shawn Smith,2,3,0:22,2,5,10,No,No,No,Offense
Buffalo,N.Y. Jets,09/14/25,J.Solomon,DL,Clete Blakeman,2,2,4:21,0,0,10,No,No,No,Special Teams
Buffalo,N.Y. Jets,09/14/25,J.Palmer,WR,Clete Blakeman,2,2,2:48,2,6,10,No,No,No,Offense
Pittsburgh,Seattle,09/14/25,T.Fautanu,OL,Scott Novak,2,3,11:26,3,2,0,Yes,No,Yes,Offense
Tennessee,LA Rams,09/14/25,J.Williams,LB,John Hussey,2,2,7:25,0,0,10,No,No,Yes,Special Teams
Tennessee,LA Rams,09/14/25,D.Moore,OL,John Hussey,2,3,4:48,2,7,0,Yes,No,Yes,Offense
Arizona,Carolina,09/14/25,I.Adams,OL,Ron Torbert,2,1,8:53,1,10,0,No,Yes,Yes,Offense
Arizona,Carolina,09/14/25,T.McBride,TE,Ron Torbert,2,1,6:16,3,7,10,No,No,Yes,Offense
Arizona,Carolina,09/14/25,J.Williams,OL,Ron Torbert,2,2,3:18,2,20,10,No,No,Yes,Offense
Carolina,Arizona,09/14/25,T.Tremble,TE,Ron Torbert,2,2,1:55,0,0,0,Yes,No,No,Special Teams
Carolina,Arizona,09/14/25,B.Martin-Scott,LB,Ron Torbert,2,2,1:55,0,0,10,No,No,No,Special Teams
Arizona,Carolina,09/14/25,I.Adams,OL,Ron Torbert,2,4,12:42,1,10,10,No,No,Yes,Offense
Carolina,Arizona,09/14/25,C.Zavala,OL,Ron Torbert,2,4,1:09,2,7,10,No,No,No,Offense
Indianapolis,Denver,09/14/25,D.Scott,DB,Craig Wrolstad,2,2,0:29,4,6,7,No,No,Yes,Special Teams
Indianapolis,Denver,09/14/25,B.Raimann,OL,Craig Wrolstad,2,3,7:13,2,1,10,No,No,Yes,Offense
Indianapolis,Denver,09/14/25,B.Raimann,OL,Craig Wrolstad,2,3,6:49,2,11,0,Yes,No,Yes,Offense
Indianapolis,Denver,09/14/25,B.Smith,OL,Craig Wrolstad,2,4,13:29,3,5,0,Yes,No,Yes,Offense
Philadelphia,Kansas City,09/14/25,C.Jurgens,OL,Alex Kemp,2,2,9:44,3,5,10,No,No,No,Offense
Kansas City,Philadelphia,09/14/25,J.Taylor,OL,Alex Kemp,2,2,3:59,3,5,0,No,Yes,Yes,Offense
Philadelphia,Kansas City,09/14/25,S.Brown,DB,Alex Kemp,2,3,10:38,4,5,9,No,No,No,Special Teams
Kansas City,Philadelphia,09/14/25,J.Taylor,OL,Alex Kemp,2,4,3:14,1,10,10,No,No,Yes,Offense
Minnesota,Atlanta,09/14/25,G.Murphy,LB,Adrian Hill,2,1,6:48,0,0,10,No,No,Yes,Special Teams
Atlanta,Minnesota,09/14/25,E.Wilkinson,OL,Adrian Hill,2,2,1:59,2,7,0,No,Yes,No,Offense
Minnesota,Atlanta,09/14/25,W.Rouse,OL,Adrian Hill,2,3,3:21,1,10,10,No,No,Yes,Offense
Atlanta,Minnesota,09/14/25,J.Matthews,OL,Adrian Hill,2,4,7:29,1,10,10,No,No,No,Offense
Houston,Tampa Bay,09/15/25,T.Howard,OL,Shawn Hochuli,2,1,4:40,2,2,10,No,No,Yes,Offense
Tampa Bay,Houston,09/15/25,A.Nelson,LB,Shawn Hochuli,2,4,2:10,0,0,10,No,No,No,Special Teams
Las Vegas,LA Chargers,09/15/25,D.Parham,OL,Clay Martin,2,2,13:37,1,10,10,No,No,Yes,Offense
Las Vegas,LA Chargers,09/15/25,I.Thomas,TE,Clay Martin,2,3,7:30,0,0,10,No,No,Yes,Special Teams
Las Vegas,LA Chargers,09/15/25,D.Parham,OL,Clay Martin,2,4,12:36,3,6,10,No,No,Yes,Offense
Buffalo,Miami,09/18/25,D.Dawkins,OL,Alan Eck,3,3,12:41,1,10,10,No,No,Yes,Offense
Buffalo,Miami,09/18/25,D.Kincaid,TE,Alan Eck,3,4,3:00,1,10,10,No,No,Yes,Offense
Carolina,Atlanta,09/21/25,C.Mays,OL,Craig Wrolstad,3,1,1:25,2,2,10,No,No,Yes,Offense
Carolina,Atlanta,09/21/25,D.Lewis,OL,Craig Wrolstad,3,2,1:22,3,5,10,No,No,Yes,Offense
Carolina,Atlanta,09/21/25,D.Lewis,OL,Craig Wrolstad,3,4,6:30,1,10,10,No,No,Yes,Offense
Cleveland,Green Bay,09/21/25,C.Lucas,OL,Carl Cheffers,3,1,9:14,1,10,10,No,No,Yes,Offense
Cleveland,Green Bay,09/21/25,W.Teller,OL,Carl Cheffers,3,2,0:25,3,6,10,No,No,Yes,Offense
Green Bay,Cleveland,09/21/25,K.Enagbare,DL,Carl Cheffers,3,4,3:38,0,0,0,Yes,No,No,Special Teams
Green Bay,Cleveland,09/21/25,L.Van Ness,DL,Carl Cheffers,3,4,3:38,0,0,10,No,No,No,Special Teams
Houston,Jacksonville,09/21/25,A.Ersery,OL,Alex Kemp,3,2,13:51,1,10,0,No,Yes,No,Offense
Houston,Jacksonville,09/21/25,A.Ersery,OL,Alex Kemp,3,2,11:46,2,6,10,No,No,No,Offense
Houston,Jacksonville,09/21/25,M.Stewart,DB,Alex Kemp,3,2,5:55,4,5,0,No,Yes,No,Special Teams
Houston,Jacksonville,09/21/25,T.Howard,OL,Alex Kemp,3,2,1:07,3,12,0,Yes,No,No,Offense
Jacksonville,Houston,09/21/25,W.Little,OL,Alex Kemp,3,3,13:50,1,10,10,No,No,Yes,Offense
Jacksonville,Houston,09/21/25,P.Mekari,OL,Alex Kemp,3,3,9:56,2,11,10,No,No,Yes,Offense
Cincinnati,Minnesota,09/21/25,D.Fairchild,OL,Ron Torbert,3,2,14:56,3,7,10,No,No,No,Offense
Minnesota,Cincinnati,09/21/25,M.Jurgens,OL,Ron Torbert,3,3,9:52,1,10,10,No,No,Yes,Offense
Pittsburgh,New England,09/21/25,B.Echols,DB,Clete Blakeman,3,1,5:21,4,9,10,No,No,No,Special Teams
Pittsburgh,New England,09/21/25,Z.Frazier,OL,Clete Blakeman,3,3,13:12,1,10,10,No,No,No,Offense
LA Rams,Philadelphia,09/21/25,J.McCollough,DB,Brad Rogers,3,2,15:00,4,18,0,No,Yes,No,Special Teams
LA Rams,Philadelphia,09/21/25,C.Shelton,OL,Brad Rogers,3,2,9:30,3,2,10,No,No,No,Offense
Philadelphia,LA Rams,09/21/25,G.Calcaterra,TE,Brad Rogers,3,2,9:15,0,0,0,Yes,No,Yes,Special Teams
Philadelphia,LA Rams,09/21/25,C.Jurgens,OL,Brad Rogers,3,3,12:40,2,3,0,Yes,No,Yes,Offense
Philadelphia,LA Rams,09/21/25,L.Dickerson,OL,Brad Rogers,3,3,12:40,2,3,10,No,No,Yes,Offense
Philadelphia,LA Rams,09/21/25,C.Jurgens,OL,Brad Rogers,3,4,12:51,3,4,0,Yes,No,Yes,Offense
Tampa Bay,N.Y. Jets,09/21/25,R.Miller,WR,Adrian Hill,3,1,8:09,1,10,10,No,No,Yes,Offense
